Name,Rating,Reviews,Salaries,jobs,Industry&Location
SBI Capital Markets,3.8,278,1.9k,--,Mumbai +87 other locations
Expert Global Solutions,3.5,278,1.9k,--,BPO | Pune +10 other locations
Cogenthub,2.8,278,625,32,BPO | Kolkata +5 other locations
Zuari Cement,4.3,278,1.2k,--,Building Material | Kadapa +36 other locations
Harsha Engineers,3.9,278,1.7k,12,Auto Components | Ahmedabad +8 other locations
MYCPE ONE,4.1,277,885,6,Recruitment | Ahmedabad +17 other locations
Hyundai Construction Equipment,4.3,277,1.5k,4,Industrial Machinery | Pune +36 other locations
Minda Kosei Aluminum Wheel,4.1,277,1k,--,Auto Components | Ahmedabad +13 other locations
Yum!,4.1,277,1.1k,2,Hospitality | Gurgaon / Gurugram +28 other locations
Lam Research,3.7,277,2k,77,Semiconductors | Bangalore / Bengaluru +3 other locations
AM Infoweb,3.6,277,1.1k,25,BPO | Pune +5 other locations
Oceaneering International,4.1,277,1.8k,2,Engineering & Construction | Chandigarh +7 other locations
Lloyd Insulations,3.4,277,1.3k,4,Industrial Machinery | New Delhi +36 other locations
NAV Backoffice,3.4,279,1.8k,4,Accounting & Auditing | Jaipur +8 other locations
DotPe,3.2,277,1.4k,3,IT Services & Consulting | Gurgaon / Gurugram +20 other locations
Aliens Group,3.2,277,1.4k,58,Real Estate | Hyderabad / Secunderabad +6 other locations
VTP Realty,3.7,277,1.6k,17,Real Estate | Pune +1 other locations
Tega Industries,3.7,277,1.4k,1,Industrial Machinery | Kolkata +18 other locations
Eaton India Innovation Center,4.0,278,2k,--,Engineering & Construction | Pune +2 other locations
Nabard Financial Services,4.1,277,802,--,NBFC | Bangalore / Bengaluru +105 other locations
KEPCO Plant Service & Engineering,3.7,278,1.1k,--,Engineering & Construction | Bhavnagar +21 other locations
UNIVO Education,3.3,278,1.2k,1,EdTech | Noida +7 other locations
Bharat IT Services,3.4,276,1k,--,IT Services & Consulting | New Delhi +47 other locations
Mirza International,3.7,276,1.3k,--,Fashion & Textile | New Delhi +30 other locations
Indifi Technologies,3.8,276,1.6k,9,FinTech | Gurgaon / Gurugram +12 other locations
Asort Company,4.3,276,442,--,Internet | Gurgaon / Gurugram +54 other locations
B S R & Co Llp,3.4,276,3.3k,54,Accounting & Auditing | Mumbai +20 other locations
Lalitha Jewellery,4.0,276,977,7,Jewellery | Chennai +37 other locations
Madina Group,4.5,276,573,--,Oil & Gas | Doha +19 other locations
Hero Housing Finance,3.9,278,1.4k,6,Financial Services | New Delhi +67 other locations
Health India Tpa Services,3.2,276,1.4k,7,Insurance | Mumbai +31 other locations
Sri Sri Tattva,3.6,276,1.2k,2,FMCG | Bangalore / Bengaluru +51 other locations
Hygienic Research Institute,4.1,275,1.1k,--,Beauty & Personal Care | Mumbai +52 other locations
ESAF CO-OPERATIVE,3.7,275,849,--,Financial Services | Thrissur +111 other locations
Captain Steel India Limited,4.4,275,741,95,Iron & Steel | Kolkata +56 other locations
Sri Aurobindo Society,3.2,275,925,13,Non-Profit | New Delhi +21 other locations
Valvoline Cummins,4.0,275,1.3k,9,Auto Components | Gurgaon / Gurugram +55 other locations
ACB (India),3.7,275,1.5k,1,Oil & Gas | Korba +25 other locations
Signode,4.0,275,1.4k,--,Hyderabad / Secunderabad +35 other locations
Enphase Energy,2.9,276,2.3k,86,Power | Bangalore / Bengaluru +8 other locations
Aabasoft,4.0,274,827,68,IT Services & Consulting | Kochi +11 other locations
Soma Enterprises,4.3,274,862,--,Engineering & Construction | Bangalore / Bengaluru +46 other locations
Polyplastics Industries (I),3.8,274,1.3k,6,Auto Components | Pune +16 other locations
Polyplastics Industries (I),3.8,274,1.3k,6,Auto Components | Pune +16 other locations
Rajsriya Automotive Industries,3.2,274,1.3k,3,Auto Components | Hosur +10 other locations
Nature's Basket,3.8,274,1k,--,Internet | Mumbai +11 other locations
Kent plc,4.3,274,570,9,Oil & Gas | Mumbai +27 other locations
MTR Foods,3.9,275,1.1k,--,FMCG | Bangalore / Bengaluru +37 other locations
SOTC Travel Limited,3.7,274,1.3k,8,Travel & Tourism | Mumbai +33 other locations
EPIQ Systems,3.6,275,1.7k,62,Legal | Hyderabad / Secunderabad +9 other locations
Angelique International,4.5,274,1k,6,Engineering & Construction | Noida +18 other locations
Rama Medical College Hospital & Research Centre,3.8,275,1.1k,--,Healthcare | Kanpur +16 other locations
Mitra SK,3.8,274,1k,5,Other | Kolkata +42 other locations
Sundaram Auto Components,4.1,273,1.2k,--,Auto Components | Hosur +18 other locations
Maharashtra Hybrid Seed Company,4.1,273,858,1,Agriculture | Aurangabad +62 other locations
Satin Finserv,4.0,274,631,--,NBFC | Gurgaon / Gurugram +76 other locations
Paradeep Phosphates,4.0,273,1.2k,3,Agro Chemicals | Paradip +38 other locations
Awign Enterprises,3.9,273,1k,61,Internet | Bangalore / Bengaluru +35 other locations
Gyproc,4.1,273,975,--,Mumbai +36 other locations
CK Birla Group,4.0,273,1.4k,--,Building Material | Hyderabad / Secunderabad +44 other locations
AirAsia,3.6,273,1.5k,3,Aviation | Bangalore / Bengaluru +24 other locations
Nidec Corporation,3.9,274,1.5k,6,Industrial Machinery | Neemrana +22 other locations
Recipharm Pharmaservices,3.9,273,1.5k,--,Pharma | Bangalore / Bengaluru +6 other locations
Creative Hands HR Consultancy,4.0,274,221,--,Recruitment | Chennai +39 other locations
Theme Engineering Services,3.8,273,1k,7,Engineering & Construction | Jaipur +86 other locations
Sterling Tools,3.7,273,1.1k,8,Automobile | Faridabad +11 other locations
Richa Global Export,4.1,272,1.4k,1,Fashion & Textile | Gurgaon / Gurugram +9 other locations
Somic ZF Components,4.2,272,1.1k,--,Auto Components | Gurgaon / Gurugram +14 other locations
Personiv,3.7,272,1.8k,--,BPO | Coimbatore +9 other locations
Tudip Technologies,3.1,272,1.4k,5,IT Services & Consulting | Pune +4 other locations
Arjas Steel,4.2,272,1.2k,6,Iron & Steel | Anantapur +16 other locations
HungerBox,3.8,272,1.2k,4,Internet | Bangalore / Bengaluru +14 other locations
Merit Data and Technology,3.5,272,1.7k,8,IT Services & Consulting | Chennai +6 other locations
eMudhra,3.9,272,1.6k,--,Software Product | Bangalore / Bengaluru +14 other locations
Phenom,3.9,272,1.7k,34,Software Product | Hyderabad / Secunderabad +3 other locations
Kunal Structure,3.7,272,979,1,Real Estate | Ahmedabad +25 other locations
Cactus Communications,3.6,272,1.7k,4,Software Product | Mumbai +12 other locations
Motherhood Hospital,3.7,273,1.4k,117,Healthcare | Bangalore / Bengaluru +21 other locations
Universal Corporation,3.6,272,1.1k,--,Pharma | Kolkata +47 other locations
Asti Electronics India,4.1,272,1.2k,--,Auto Components | Gurgaon / Gurugram +8 other locations
Bliss Gvs Pharma,4.2,273,1.4k,3,Pharma | Mumbai +9 other locations
Seth M R Jaipuria School,3.7,273,854,--,Education & Training | Lucknow +41 other locations
Sir H. N. Reliance Foundation Hospital and Research,3.8,273,958,2,Healthcare | Mumbai +7 other locations
Indigo Paints,4.0,273,1.2k,3,Chemicals | Jodhpur +79 other locations
Springer Nature in India,4.0,272,2.4k,4,Printing & Publishing | Pune +3 other locations
Global Aluminium,3.8,271,843,1,Metals & Mining | Hyderabad / Secunderabad +16 other locations
HyScaler,4.5,271,234,--,IT Services & Consulting | Bhubaneswar +3 other locations
Borosil Glass Works,3.9,271,1.5k,2,Jaipur +33 other locations
METRO Global Solutions Center,3.6,272,1.3k,2,IT Services & Consulting | Pune +7 other locations
CESC,3.8,273,1.4k,--,Power | Kolkata +15 other locations
Aeronautical Development Agency,4.4,271,1.8k,--,Defence & Aerospace | Bangalore / Bengaluru +7 other locations
STUDDS Accessories Limited,3.6,271,1.3k,--,Auto Components | Faridabad +9 other locations
Synokem Pharmaceuticals,3.8,271,1.3k,9,Pharma | Haridwar +13 other locations
Hindustan Foods,3.5,271,1.6k,2,FMCG | Hyderabad / Secunderabad +29 other locations
Indo Farm Equipment,3.1,271,970,--,Industrial Machinery | Baddi +39 other locations
Avantor,3.5,271,2.1k,74,Biotechnology | Coimbatore +26 other locations
Ircon International,3.9,271,943,--,Engineering & Construction | New Delhi +48 other locations
BDO RISE Private Limited,3.5,271,1.7k,12,Accounting & Auditing | Bangalore / Bengaluru +7 other locations
Amartex Industries,4.0,271,363,24,Fashion & Textile | Panchkula +18 other locations
Ajio Business,3.6,270,571,--,Bangalore / Bengaluru +102 other locations
Sabre,4.0,270,2.4k,23,Software Product | Bangalore / Bengaluru +10 other locations
SNVA Group,3.8,270,887,395,IT Services & Consulting | Noida +5 other locations
Bluechip Corporate Investment Centre,4.0,270,1k,--,Accounting & Auditing | Mumbai +82 other locations
ScoreMe Solutions,4.3,270,416,--,Software Product | Gurgaon / Gurugram +5 other locations
Harjai Computers,3.5,270,1.5k,71,Recruitment | Mumbai +11 other locations
ONPASSIVE,2.9,270,1.4k,--,IT Services & Consulting | Hyderabad / Secunderabad +8 other locations
N Ranga Rao And Sons,3.9,270,907,4,FMCG | Mysuru / Mysore +62 other locations
Peregrine Guarding,3.9,270,886,1,Law Enforcement & Security | Gurgaon / Gurugram +43 other locations
MapmyIndia,3.7,270,1.7k,3,Software Product | New Delhi +8 other locations
Inventia Healthcare,3.9,270,1.7k,4,Pharma | Mumbai +8 other locations
Shah Technical Consultants,3.5,270,867,--,Telecom | Mumbai +57 other locations
Zeetech Management And Marketing,4.1,270,61,--,Ranchi +35 other locations
Technosoft Engineering Projects Limited,3.9,270,1.2k,28,Industrial Automation | Mumbai +5 other locations
AVASOFT,2.9,270,1.3k,--,Software Product | Chennai +5 other locations
Kalkine,4.1,270,899,--,Financial Services | Noida +2 other locations
Council of Scientific and Industrial Research,4.3,269,1.2k,--,Government | New Delhi +39 other locations
Hindustan Syringes & Medical Devices,3.9,269,1k,--,Medical Equipment | Faridabad +15 other locations
Orix Auto Infrastructure Services,4.2,269,974,6,Logistics | Mumbai +20 other locations
Alicon Castalloy,3.4,269,1.2k,--,Auto Components | Pune +9 other locations
Louis Philippe,4.3,269,712,--,Fashion & Textile | Bangalore / Bengaluru +69 other locations
Jorie Healthcare,4.4,269,331,--,Healthcare | Mohali +7 other locations
Nippon Koei India,4.6,269,1.1k,--,Engineering & Construction | New Delhi +44 other locations
IndianOil Adani Ventures,4.0,269,941,--,Paradip +27 other locations
CANTABIL RETAIL INDIA,3.9,269,979,3,Retail | New Delhi +74 other locations
Cooper Corporation,3.7,269,1.5k,4,Auto Components | Satara +10 other locations
Axis Finance,3.7,269,1.7k,10,NBFC | Mumbai +66 other locations
Bellsonica Auto Component,4.0,269,1.1k,5,Auto Components | Gurgaon / Gurugram +12 other locations
Gi Group,3.8,269,1.1k,12,Recruitment | New Delhi +48 other locations
AIS Glass Solutions,3.6,269,1.4k,--,Building Material | Chennai +29 other locations
MMC Infotech Services,3.6,269,1.1k,--,IT Services & Consulting | Chennai +6 other locations
Origo Commodities,3.4,269,970,--,Agriculture | Gurgaon / Gurugram +51 other locations
Medline Industries,3.9,269,2.2k,61,Medical Equipment | Pune +5 other locations
BIC Cello,3.9,269,1k,--,Other | Mumbai +45 other locations
Nitco,4.2,268,1.3k,--,Building Material | Mumbai +51 other locations
Rheinmetall Automotive,4.0,268,1.3k,6,Auto Components | Pune +15 other locations
Nava Limited,3.7,268,1.2k,7,Metals & Mining | Hyderabad / Secunderabad +25 other locations
Mahindra Truck and Bus,3.7,268,1.1k,--,Automobile | Pune +57 other locations
Sj Contracts,4.3,269,1.1k,15,Engineering & Construction | Pune +7 other locations
Epic Concesiones,4.0,268,1.5k,--,Chennai +54 other locations
Sub-K IMPACT Solutions,3.9,269,855,1,Financial Services | Hyderabad / Secunderabad +93 other locations
Auro Realty Private Limited,4.3,268,1.3k,1,Real Estate | Hyderabad / Secunderabad +22 other locations
Duroflex,3.9,268,1.4k,5,Furniture & Furnishing | Bangalore / Bengaluru +39 other locations
Techno Electric & Engineering Company,3.9,268,1.2k,1,Engineering & Construction | Kolkata +46 other locations
Patil Group,3.8,268,1.4k,23,Engineering & Construction | Hyderabad / Secunderabad +43 other locations
Rainbow Childrens Hospital,4.0,268,983,7,Healthcare | Hyderabad / Secunderabad +14 other locations
AppInventiv Technologies,3.7,268,2.3k,22,Software Product | Noida +10 other locations
Thomson Digital,3.9,267,837,5,Printing & Publishing | Noida +8 other locations
Royal Research,2.0,267,517,--,Analytics & KPO | Kolkata +6 other locations
SYSTRA,4.0,268,1.2k,--,Engineering & Construction | New Delhi +40 other locations
Molecular Connections,3.4,267,1.3k,6,IT Services & Consulting | Bangalore / Bengaluru +9 other locations
Banco Products,3.5,268,1.6k,3,Auto Components | Vadodara +18 other locations
Allanasons,3.8,267,1.1k,17,Food Processing | Mumbai +30 other locations
Pitney Bowes,3.8,267,2k,41,IT Services & Consulting | Noida +14 other locations
Metric Stream Infotech,3.1,267,2.4k,4,Internet | Bangalore / Bengaluru +3 other locations
MSP Steel & Power,3.9,267,1.1k,8,Iron & Steel | Raigarh +14 other locations
MobileComm Technologies India,3.8,267,1.1k,--,Telecom | Gurgaon / Gurugram +30 other locations
Moody's Analytics,3.9,267,2.4k,59,Analytics & KPO | Gurgaon / Gurugram +5 other locations
Stellar Innovations,3.4,268,1.7k,4,IT Services & Consulting | Bangalore / Bengaluru +9 other locations
GSH Group,4.1,267,1k,23,Facility Management Services | Chennai +34 other locations
National Australia Bank,3.0,267,2k,15,Banking | Gurgaon / Gurugram +7 other locations
Nestaway,3.9,267,1.8k,12,Internet | Bangalore / Bengaluru +13 other locations
InfoService,4.0,266,1.5k,22,IT Services & Consulting | Bangalore / Bengaluru +31 other locations
Shreya Life Sciences,4.2,266,628,--,Pharma | Aurangabad +61 other locations
Omkar Realtors and Developers Group,3.7,266,982,22,Real Estate | Mumbai +11 other locations
Electrical Research & Development Association,4.1,266,1k,2,Electrical Equipment | Vadodara +23 other locations
MSD Pharmaceuticals,4.1,267,1.1k,191,Pharma | Mumbai +48 other locations
KHY ELECTRONIC,3.7,265,1k,--,Noida +10 other locations
NIKE,4.1,266,1.6k,5,Retail | Bangalore / Bengaluru +40 other locations
CityMall,3.2,266,1.2k,6,Internet | Gurgaon / Gurugram +20 other locations
Plasser India,4.1,266,1.5k,5,Industrial Machinery | Vadodara +11 other locations
Advanced Micro Devices,3.7,266,2.4k,211,Semiconductors | Hyderabad / Secunderabad +13 other locations
Pfizer Healthcare india pvt lit,4.0,266,1.3k,--,Pharma | Visakhapatnam +17 other locations
OneSource Specialty Pharma Limited,3.7,268,1.6k,--,Pharma | Bangalore / Bengaluru +3 other locations
Emami Paper Mills,4.1,266,809,--,Pulp & Paper | Balasore +9 other locations
Gujarat Alkalies & Chemicals,4.5,266,1.3k,--,Chemicals | Bharuch +9 other locations
Videocon Industries Ltd.,4.1,265,1k,--,Consumer Electronics & Appliances | Aurangabad +62 other locations
Apollo Clinic,4.0,265,998,--,Healthcare | Kolkata +35 other locations
Navi Technologies,2.8,265,1.8k,109,FinTech | Bangalore / Bengaluru +12 other locations
SMS Limited,4.1,266,2.7k,2,Engineering & Construction | Nagpur +43 other locations
Hindustan Times,3.3,266,2.1k,25,Media & Entertainment | New Delhi +35 other locations
Highway Industries,4.0,265,1.2k,--,Engineering & Construction | Ludhiana +15 other locations
Cotmac Electronics,3.8,265,1.5k,--,Industrial Automation | Pune +20 other locations
EVRY India,4.4,265,1.7k,37,IT Services & Consulting | Bangalore / Bengaluru +4 other locations
NXP Semiconductors,3.7,265,2.3k,33,Semiconductors | Bangalore / Bengaluru +11 other locations
Indchemie Health Specialities,3.8,265,854,--,Pharma | Mumbai +58 other locations
Wartsila,4.3,264,881,40,Ports & Shipping | Mumbai +42 other locations
Unique Identification Authority of India,4.0,264,946,--,IT Services & Consulting | New Delhi +81 other locations
Bombardier Transportation,4.2,264,1.5k,--,Urban Transport | Vadodara +11 other locations
Kubota Agricultural Machinery India,4.3,264,1.3k,--,Agriculture | Chennai +41 other locations
Arena Animation,3.6,265,1.1k,2,Education & Training | New Delhi +58 other locations
TMEIC,3.8,264,1.5k,1,Industrial Automation | Bangalore / Bengaluru +8 other locations
McAfee,4.0,264,3.2k,2,Software Product | Bangalore / Bengaluru +9 other locations
Adani Solar,3.9,264,1.5k,--,Power | Mundra +19 other locations
Allegis Global Solutions,3.5,265,1.5k,24,Recruitment | Bangalore / Bengaluru +10 other locations
Essae Teraoka,3.6,264,909,2,Electronics Manufacturing | Bangalore / Bengaluru +54 other locations
Naaptol Online Shopping,3.6,264,1.1k,3,Internet | Mumbai +21 other locations
MN Dastur & Company,4.1,264,813,--,Metals & Mining | Kolkata +13 other locations
Técnicas Reunidas,4.1,264,1.2k,1,Engineering & Construction | Bangalore / Bengaluru +19 other locations
Sedemac Mechatronics,4.1,265,1.4k,1,Emerging Technologies | Pune +4 other locations
Military Engineer Services,4.4,264,678,--,Engineering & Construction | New Delhi +69 other locations
TMF Group,3.8,263,1.7k,6,Financial Services | Pune +9 other locations
Lobo Staffing Solutions,4.2,263,1.2k,--,Recruitment | Mumbai +62 other locations
NACL Industries,4.1,263,1k,2,Agro Chemicals | Hyderabad / Secunderabad +46 other locations
NACL Industries,4.1,263,1k,2,Agro Chemicals | Hyderabad / Secunderabad +46 other locations
NVH India Auto Parts,3.4,263,1.3k,5,Auto Components | Chennai +13 other locations
TCI Supply Chain Solutions,4.2,263,806,--,Logistics | Gurgaon / Gurugram +47 other locations
Rushil Decor,4.2,263,888,--,Building Material | Ahmedabad +32 other locations
E-Solutions,3.4,263,1.4k,13,Recruitment | Noida +20 other locations
Quantzig,4.8,263,236,--,Analytics & KPO | Bangalore / Bengaluru +1 other locations
Vem Technologies,3.7,263,1.3k,2,Defence & Aerospace | Hyderabad / Secunderabad +3 other locations
Tata ClassEdge,3.5,263,994,16,EdTech | Mumbai +47 other locations
Suburban Diagnostics,3.9,262,1k,--,Healthcare | Mumbai +13 other locations
Pulse Pharmaceuticals,3.4,262,890,3,Pharma | Hyderabad / Secunderabad +36 other locations
Shriram Group,3.9,262,1.5k,--,Financial Services | Chennai +115 other locations
PSA AVTEC Powertrain,3.4,263,1.4k,--,Auto Components | Hosur +10 other locations
Satguru Travels and Tour Services,3.1,262,1.2k,--,Travel & Tourism | Pune +34 other locations
SMS Group,4.1,262,1.4k,--,Industrial Machinery | Gurgaon / Gurugram +17 other locations
Dainik Jagran,3.5,262,1.3k,--,Printing & Publishing | New Delhi +51 other locations
Aujas Cybersecurity-NuSummit company,3.8,262,2.1k,2,IT Services & Consulting | Bangalore / Bengaluru +12 other locations
Yutika Natural,3.7,262,684,2,Beauty & Personal Care | Indore +44 other locations
ABI Showatech,3.7,262,1.1k,--,Auto Components | Chennai +11 other locations
Cyber Infrastructure,3.5,262,1.5k,26,IT Services & Consulting | Indore +10 other locations
SEIL Energy India,4.1,262,1.4k,--,Power | Nellore +24 other locations
SEIL Energy India,4.1,262,1.4k,--,Power | Nellore +24 other locations
Sureti Insurance Marketing,3.8,262,131,3,Insurance | Coimbatore +6 other locations
Padmini VNA Mechatronics,4.2,262,1.4k,--,Auto Components | Gurgaon / Gurugram +2 other locations
Teamspace Financial Services,4.1,261,1k,1,Financial Services | Mumbai +91 other locations
Balaji Wafers,4.4,261,1k,--,FMCG | Indore +42 other locations
Murugappa Group,4.0,261,1.3k,38,Agro Chemicals | Chennai +70 other locations
Zeta,3.4,261,2.4k,102,Emerging Technologies | Bangalore / Bengaluru +11 other locations
Nexval Infotech,3.0,261,1k,1,IT Services & Consulting | Kolkata +5 other locations
Yellow Diamond,4.3,261,930,--,FMCG | Indore +67 other locations
Festo,3.9,262,1.5k,1,Industrial Automation | Bangalore / Bengaluru +19 other locations
Lafarge,4.3,260,603,--,Building Material | Mumbai +75 other locations
Frigorifico Allana,3.9,260,1.1k,--,Food Processing | Aurangabad +28 other locations
DB Power Limited,4.6,260,717,--,Power | Raigarh +10 other locations
Ordnance Factory,4.4,260,641,--,Government | Hyderabad / Secunderabad +33 other locations
IQ BackOffice,3.5,260,1.5k,3,Financial Services | Chennai +5 other locations
TestingXperts,3.9,260,2k,2,IT Services & Consulting | Chandigarh +9 other locations
RV Solutions,4.0,260,1.2k,3,IT Services & Consulting | Noida +33 other locations
Hamleys,4.0,260,681,--,Retail | Mumbai +43 other locations
HiyaMee Private Limited,3.1,262,1.8k,1,Recruitment | Bangalore / Bengaluru +10 other locations
Kimberly-Clark,4.0,260,1.5k,42,Beauty & Personal Care | Bangalore / Bengaluru +46 other locations
Head Field Solutions,4.0,261,1.2k,--,Recruitment | Noida +4 other locations
Bird Worldwide Flight Services,3.4,260,857,1,Aviation | New Delhi +10 other locations
Dinshaws,4.0,260,999,1,Food Processing | Nagpur +47 other locations
Laser Power & Infra,3.7,260,1.1k,14,Electrical Equipment | Kolkata +34 other locations
Lumino Industries,3.9,260,888,--,Electrical Equipment | Kolkata +33 other locations
Sekisui Dljm Molding,3.9,261,1.3k,--,Auto Components | Chennai +17 other locations
Signutra (Health & Nutrition Division of Win - Medicare Pvt Ltd),4.5,260,373,1,Pharma | New Delhi +51 other locations
ProConnect Integrated Logistics,3.7,259,1.4k,--,Logistics | Chennai +43 other locations
Bnp Paribas Securities,3.9,259,1.8k,--,Financial Services | Chennai +8 other locations
Manipal Technologies,4.0,259,2k,7,Printing & Publishing | Bangalore / Bengaluru +28 other locations
Data-Core Systems,3.2,259,1.1k,5,IT Services & Consulting | Kolkata +7 other locations
SAR Group,3.7,259,1.4k,--,Consumer Electronics & Appliances | Gurgaon / Gurugram +35 other locations
Sandvik Mining and Rock Technology,4.2,259,1.3k,--,Industrial Machinery | Udaipur +29 other locations
Rubicon Research,3.4,259,1.6k,--,Clinical Research | Mumbai +11 other locations
AVL,3.6,260,1.5k,--,Automobile | Gurgaon / Gurugram +18 other locations
Zebronics,3.6,259,1.1k,10,Consumer Electronics & Appliances | Chennai +39 other locations
Hitachi Systems,3.9,259,1.7k,5,IT Services & Consulting | Mumbai +27 other locations
Shriram Value Services,3.9,258,801,--,IT Services & Consulting | Chennai +27 other locations
Lauritz Knudsen Electrical & Automation,4.1,258,1.3k,--,Mumbai +57 other locations
CPM India Sales & Marketing,4.1,258,1.1k,22,Marketing & Advertising | New Delhi +45 other locations
Radium Creation,4.2,258,693,--,Mumbai +6 other locations
CPM India Sales & Marketing,4.1,258,1.1k,22,Marketing & Advertising | New Delhi +45 other locations
Mymd Healthcare,4.1,258,304,3,Internet | Kolkata +13 other locations
Automotive Robotics (India),3.6,258,2.2k,17,Industrial Automation | Chennai +5 other locations
Reliance Money,3.7,258,924,--,Financial Services | Mumbai +55 other locations
Doha Petroleum Construction Company,3.9,259,685,--,Oil & Gas | Doha +10 other locations
Vascon Engineers,3.6,258,1.1k,5,Real Estate | Pune +19 other locations
Titan Laboratories,3.7,258,951,8,Pharma | Mumbai +12 other locations
Muthoot Pappachan Group,3.9,258,1k,2,Financial Services | Thiruvananthapuram +79 other locations
Eastman Chemical Company,4.3,258,831,1,Chemicals | Hyderabad / Secunderabad +4 other locations
Dvara KGFS,3.8,258,920,--,NBFC | Chennai +52 other locations
TowerVision India,4.0,258,1.1k,--,Telecom | Gurgaon / Gurugram +30 other locations
ArcGate,3.4,257,1.1k,10,IT Services & Consulting | Udaipur +4 other locations
Netafim Irrigation India,4.2,257,953,--,Industrial Machinery | Vadodara +53 other locations
Peter England,3.9,257,773,--,Fashion & Textile | Bangalore / Bengaluru +106 other locations
UCO Bank,3.7,257,879,--,Banking | Kolkata +80 other locations
Saregama India,4.0,257,1k,1,Media & Entertainment | Mumbai +37 other locations
Yodlee,3.8,257,2k,14,Software Product | Bangalore / Bengaluru +5 other locations
Ceat Specialty Tyres,4.0,257,1.1k,--,Auto Components | Mumbai +33 other locations
Xtancia Technosoft,4.0,257,34,--,Software Product | Chennai +2 other locations
Network 18,3.5,258,2.3k,11,Media & Entertainment | Mumbai +26 other locations
Greentech Industries,4.0,257,1.1k,--,Industrial Machinery | Nellore +16 other locations
Freelancer.com,4.1,257,36.9k,96,Bangalore / Bengaluru +36 other locations
Holisol Logistics,3.7,257,1.1k,--,Logistics | New Delhi +51 other locations
Cashpor Micro Credit,3.6,256,785,3,NBFC | Varanasi +45 other locations
Wagh Bakri Tea Group,4.3,256,1.1k,3,Beverage | Ahmedabad +35 other locations
Global Calcium,3.4,256,1.6k,39,Pharma | Hosur +5 other locations
Compunnel,3.7,256,1.9k,4,IT Services & Consulting | Noida +15 other locations
Kalyani Motors,3.6,256,1.1k,19,Automobile | Bangalore / Bengaluru +10 other locations
INOX Air Products,4.2,256,1.5k,1,Oil & Gas | Pune +50 other locations
Tablets (India),3.9,256,875,--,Pharma | Chennai +41 other locations
Vayam Info Solutions,4.0,256,937,--,Recruitment | New Delhi +44 other locations
Volvo Trucks,4.1,256,1.3k,--,Automobile | Bangalore / Bengaluru +29 other locations
Efftronics Systems,3.5,257,866,--,Electronics Manufacturing | Vijayawada +27 other locations
MIOT INTERNATIONAL,3.4,256,1.2k,8,Healthcare | Chennai +7 other locations
Machino Plastics,3.8,256,1.4k,2,Auto Components | Gurgaon / Gurugram +10 other locations
Themis Medicare,3.7,256,1k,--,Pharma | Mumbai +43 other locations
Paperchase Accountancy,3.2,257,1.5k,4,Ahmedabad +5 other locations
T R Chadha & Co Llp,3.4,256,1.2k,13,Accounting & Auditing | Mumbai +13 other locations
Shree Renuka Sugars,4.0,256,1.1k,1,Food Processing | Belgaum +37 other locations
SAVIC Technologies,2.6,255,1.1k,--,IT Services & Consulting | Mumbai +18 other locations
NTT Global Data Centers and Cloud Infrastructure,4.0,255,1.7k,--,IT Services & Consulting | Mumbai +14 other locations
VVF,3.7,255,1.3k,1,Chemicals | Mumbai +19 other locations
Entab Infotech,3.1,255,1.1k,4,EdTech | New Delhi +12 other locations
Hewlett Packard Globalsoft,3.9,255,1.2k,8,Bangalore / Bengaluru +7 other locations
ZIM Laboratories,3.2,255,1.3k,8,Pharma | Nagpur +7 other locations
Micro Plastics,3.8,255,1.3k,2,Petrochemicals | Bangalore / Bengaluru +10 other locations
Veolia Water Technologies,4.2,255,1.2k,21,Bangalore / Bengaluru +46 other locations
Path Infotech,3.9,255,1.6k,10,IT Services & Consulting | Noida +8 other locations
Aristocrat,3.9,255,2.3k,47,Gaming | Noida +8 other locations
Wonderla Holidays,4.2,255,969,40,Hospitality | Bangalore / Bengaluru +16 other locations
Cameo Corporate Services,3.4,255,1.3k,13,BPO | Chennai +14 other locations
Tommy Hilfiger,4.4,255,902,--,Fashion & Textile | Bangalore / Bengaluru +44 other locations
Fluentgrid,3.7,256,1.5k,2,IT Services & Consulting | Visakhapatnam +34 other locations
ESAB,4.1,255,1.4k,3,Industrial Machinery | Chennai +24 other locations
Onida,3.9,254,857,2,Consumer Electronics & Appliances | Mumbai +58 other locations
Mitsuba Sical,3.8,254,1k,--,Auto Components | Gurgaon / Gurugram +15 other locations
InnovationM,4.0,254,739,21,IT Services & Consulting | Noida +8 other locations
doodleblue innovation,4.2,254,1.1k,21,IT Services & Consulting | Chennai +4 other locations
Bal Pharma,3.4,254,1.2k,10,Pharma | Bangalore / Bengaluru +19 other locations
Schaeffer & Sam,3.3,256,758,1,Mumbai +21 other locations
Edureka,3.2,254,1.4k,2,EdTech | Bangalore / Bengaluru +20 other locations
Zee Laboratories,3.1,254,889,20,Pharma | Karnal +32 other locations
NatWest Markets,3.8,254,2.7k,--,Banking | Gurgaon / Gurugram +10 other locations
Koenig Solutions,3.9,254,964,24,Education & Training | New Delhi +13 other locations
Van Heusen,4.1,254,717,--,Fashion & Textile | New Delhi +72 other locations
Radiant Cash Management Services,3.5,255,909,--,Financial Services | Chennai +53 other locations
Swiss Re,3.8,254,2.3k,79,Insurance | Bangalore / Bengaluru +6 other locations
TATWA Technologies,3.3,254,827,1,IT Services & Consulting | Bhubaneswar +13 other locations
