Name,Rating,Reviews,Salaries,jobs,Industry&Location
Omega Healthcare,3.7,5k,23.1k,99,BPO | Bangalore / Bengaluru +57 other locations
Bajaj Allianz Life Insurance,3.9,5k,16.1k,121,Insurance | Pune +547 other locations
JLL,4.1,5k,21.5k,383,Real Estate | Gurgaon / Gurugram +72 other locations
L&T Technology Services,3.3,5k,39.2k,490,IT Services & Consulting | Bangalore / Bengaluru +76 other locations
Virtusa Consulting Services,3.8,4.9k,52.9k,889,IT Services & Consulting | Hyderabad / Secunderabad +47 other locations
Indiamart Intermesh,3.6,4.9k,19.2k,652,Internet | Noida +152 other locations
Coforge,3.3,4.9k,41.6k,328,IT Services & Consulting | Noida +94 other locations
HSBC Group,3.9,4.8k,37k,174,Financial Services | Bangalore / Bengaluru +59 other locations
Siemens,4.1,4.8k,30.5k,718,Industrial Automation | Bangalore / Bengaluru +142 other locations
Aurobindo Pharma,4.0,4.8k,21.5k,13,Pharma | Hyderabad / Secunderabad +96 other locations
Shapoorji Pallonji Group,4.1,4.8k,15k,24,Engineering & Construction | Mumbai +182 other locations
Standard Chartered,3.7,4.7k,39.5k,--,Banking | Chennai +65 other locations
Firstsource Solutions,3.6,4.7k,22.3k,105,BPO | Bangalore / Bengaluru +62 other locations
DMart,3.9,4.7k,15.7k,152,Retail | Mumbai +229 other locations
CGI Group,4.0,4.7k,42.9k,141,IT Services & Consulting | Bangalore / Bengaluru +38 other locations
Cholamandalam Investment & Finance,3.9,4.7k,11.6k,24,Financial Services | Chennai +735 other locations
GlobalLogic,3.7,4.6k,36k,41,IT Services & Consulting | Hyderabad / Secunderabad +49 other locations
Apollo Hospitals,4.1,4.6k,15.9k,27,Healthcare | Chennai +201 other locations
Ashok Leyland,4.1,4.6k,18.1k,--,Automobile | Chennai +223 other locations
ICICI Lombard General Insurance Company,3.7,4.6k,18.7k,104,Insurance | Mumbai +283 other locations
BigBasket,3.9,4.6k,17.4k,41,Internet | Bangalore / Bengaluru +122 other locations
Cyient,3.7,4.6k,26.3k,89,IT Services & Consulting | Hyderabad / Secunderabad +41 other locations
